Reading,Value
-1.25E-06,-1.00E-08
2.62E-07,9.99E-06
1.63E-06,2.00E-05
1.09E-06,3.00E-05
2.60E-06,4.00E-05
-6.19E-06,5.00E-05
-5.09E-06,6.00E-05
-6.99E-07,7.00E-05
-1.30E-08,8.00E-05
1.63E-06,9.00E-05
4.24E-06,1.00E-04
3.97E-06,0.000109995
5.75E-06,0.000119999
8.77E-06,0.000130004
1.12E-05,0.000139988
1.34E-05,0.000149992
1.47E-05,0.000159995
2.22E-05,0.000169999
2.50E-05,0.000180002
2.69E-05,0.000190006
2.85E-05,0.000199991
3.22E-05,0.000209995
3.42E-05,0.00022
3.00E-05,0.000230001
3.06E-05,0.000240005
4.06E-05,0.00025001
4.41E-05,0.000259995
4.65E-05,0.000269995
4.80E-05,0.000280001
5.16E-05,0.000290004
5.54E-05,0.000300007
5.78E-05,0.000309996
6.02E-05,0.000319997
6.24E-05,0.000329999
6.52E-05,0.000340002
6.90E-05,0.000350005
7.21E-05,0.000360006
7.43E-05,0.000369994
7.84E-05,0.000379996
8.04E-05,0.00039
8.41E-05,0.000400002
8.74E-05,0.000410006
8.40E-05,0.000419991
8.89E-05,0.000429994
9.83E-05,0.000440001
0.000101019,0.00045
0.00010349,0.000460004
0.00010802,0.000470007
0.000110628,0.000479994
0.00011406,0.000489993
0.000118041,0.000499997
