Reading,Value
-6.77E-05,-9.73E-09
0.00167822,9.99E-06
0.003418364,2.00E-05
0.005156586,3.00E-05
0.006897556,4.00E-05
0.008638112,5.00E-05
0.010377844,6.00E-05
0.012117575,7.00E-05
0.013861976,8.00E-05
0.015600331,9.00E-05
0.017339787,1.00E-04
0.01908171,0.000109994
0.020821709,0.000119999
0.022562958,0.000130003
0.024300357,0.000139988
0.026041597,0.000149991
0.027783383,0.000159995
0.02952476,0.000169999
0.031265862,0.000180001
0.033004634,0.000190006
0.03474531,0.00019999
0.036483113,0.000209993
0.038226806,0.000219999
0.039958198,0.00023
0.041701205,0.000240004
0.043443147,0.000250009
0.04518107,0.000259994
0.046921905,0.000269995
0.048661891,0.00028
0.050404232,0.000290003
0.052136265,0.000300006
0.053884644,0.000309994
0.055626146,0.000319996
0.057367664,0.000329997
0.059115488,0.000340001
0.060856562,0.000350004
0.062600382,0.000360004
0.064338513,0.000369992
0.06608028,0.000379994
0.067821786,0.000389998
0.069563702,0.0004
0.071303688,0.000410004
0.073044367,0.000419989
0.074789144,0.000429992
0.076528877,0.000439999
0.078269437,0.000449998
0.080012158,0.000460002
0.081753947,0.000470005
0.083493948,0.000479992
0.085229531,0.000489991
0.086977944,0.000499995
