Reading,Value
0.003473072,-1.02E-08
0.038043741,9.99E-06
0.078184977,2.00E-05
0.106532849,3.00E-05
0.124348268,4.00E-05
0.139957964,5.00E-05
0.153684378,6.00E-05
0.166682884,7.00E-05
0.178829014,8.00E-05
0.19214651,9.00E-05
0.206704795,1.00E-04
0.219484076,0.000109994
0.23347497,0.000119998
0.246494234,0.000130002
0.260133892,0.000139986
0.274383426,0.000149991
0.288230538,0.000159994
0.302470654,0.000169998
0.315783709,0.00018
0.330011994,0.000190005
0.344549686,0.00019999
0.359692812,0.000209993
0.375205547,0.000219998
0.391104609,0.000229999
0.40751794,0.000240003
0.423177779,0.000250007
0.440463096,0.000259993
0.456771284,0.000269994
0.474505514,0.000279998
0.49285832,0.000290001
0.511204839,0.000300005
0.528807044,0.000309993
0.547111273,0.000319995
0.56677717,0.000329996
0.585574567,0.000339999
0.604676843,0.000350002
0.624423265,0.000360003
0.640954256,0.00036999
0.657589734,0.000379993
0.681920409,0.000389996
0.706731617,0.000399998
0.729903579,0.000410002
0.752346098,0.000419987
0.773805737,0.00042999
0.794536412,0.000439997
0.823237479,0.000449996
0.846283495,0.00046
0.869350791,0.000470003
0.887247324,0.00047999
0.908608496,0.000489989
0.930766165,0.000499992
