Reading,Value
0.066524982,-1.05E-08
0.086747378,9.99E-06
0.123958617,2.00E-05
0.161788806,3.00E-05
0.178649008,4.00E-05
0.181285903,5.00E-05
0.162737161,6.00E-05
0.158658579,7.00E-05
0.187544063,8.00E-05
0.197989166,9.00E-05
0.203758031,1.00E-04
0.21696423,0.000109993
0.226457939,0.000119998
0.235593125,0.000130002
0.244447798,0.000139987
0.257102966,0.00014999
0.266894042,0.000159994
0.272208512,0.000169998
0.270146698,0.000180001
0.272507071,0.000190005
0.280855387,0.00019999
0.288032532,0.000209993
0.296876132,0.000219999
0.306338102,0.000229999
0.317045748,0.000240004
0.328684628,0.000250007
0.342393905,0.000259993
0.356735557,0.000269994
0.371540815,0.000279998
0.386027366,0.000290002
0.399307936,0.000300005
0.414789796,0.000309993
0.427770942,0.000319995
0.440627754,0.000329996
0.455440372,0.00034
0.469807386,0.000350002
0.485237926,0.000360003
0.499572366,0.00036999
0.515772164,0.000379993
0.530955672,0.000389997
0.547209322,0.000399999
0.563368917,0.000410002
0.579947829,0.000419988
0.60057646,0.000429991
0.615507603,0.000439997
0.632120073,0.000449996
0.653153837,0.00046
0.672091901,0.000470004
0.685710549,0.000479991
0.703589499,0.00048999
0.722874284,0.000499993
